,ind_nr,profile_img_path,orig_img_path,keramik_H_max,dm_1,dm_2,bodenform,umbruchform,decoration
148,analysis/data/input_data/object_images/original_images/s_432_4_1.png,profile_images/s_432_4_1_2.png,original_images/s_432_4_1.png,,,,,,
149,analysis/data/input_data/object_images/original_images/s_432_4_4.png,profile_images/s_432_4_4_2.png,original_images/s_432_4_4.png,,,,,,
150,analysis/data/input_data/object_images/original_images/s_432_4_6.png,profile_images/s_432_4_6_2.png,original_images/s_432_4_6.png,,,,,,
151,analysis/data/input_data/object_images/original_images/s_433_5_2.png,profile_images/s_433_5_2_2.png,original_images/s_433_5_2.png,,,,,,
152,analysis/data/input_data/object_images/original_images/s_433_5_3.png,profile_images/s_433_5_3_2.png,original_images/s_433_5_3.png,,,,,,
153,analysis/data/input_data/object_images/original_images/s_434_6_1.png,profile_images/s_434_6_1_2.png,original_images/s_434_6_1.png,,,,,,
154,analysis/data/input_data/object_images/original_images/s_434_6_3.png,profile_images/s_434_6_3_2.png,original_images/s_434_6_3.png,,,,,,
155,analysis/data/input_data/object_images/original_images/s_44_01.png,profile_images/s_44_01_2.png,original_images/s_44_01.png,,,,,,
156,analysis/data/input_data/object_images/original_images/s_44_04.png,profile_images/s_44_04_2.png,original_images/s_44_04.png,,,,,,
157,analysis/data/input_data/object_images/original_images/s_44_05.png,profile_images/s_44_05_2.png,original_images/s_44_05.png,,,,,,
158,analysis/data/input_data/object_images/original_images/s_44_06.png,profile_images/s_44_06_2.png,original_images/s_44_06.png,,,,,,
159,analysis/data/input_data/object_images/original_images/s_44_08.png,profile_images/s_44_08_2.png,original_images/s_44_08.png,,,,,,
160,analysis/data/input_data/object_images/original_images/s_469_8.png,profile_images/s_469_8_2.png,original_images/s_469_8.png,,,,,,
161,analysis/data/input_data/object_images/original_images/s_471_10_1.png,profile_images/s_471_10_1_2.png,original_images/s_471_10_1.png,,,,,,
162,analysis/data/input_data/object_images/original_images/s_472_11_1.png,profile_images/s_472_11_1_2.png,original_images/s_472_11_1.png,,,,,,
163,analysis/data/input_data/object_images/original_images/s_65_01.png,profile_images/s_65_01_2.png,original_images/s_65_01.png,,,,,,
164,analysis/data/input_data/object_images/original_images/s_65_02.png,profile_images/s_65_02_2.png,original_images/s_65_02.png,,,,,,
165,analysis/data/input_data/object_images/original_images/s_65_03.png,profile_images/s_65_03_2.png,original_images/s_65_03.png,,,,,,
166,analysis/data/input_data/object_images/original_images/s_65_04.png,profile_images/s_65_04_2.png,original_images/s_65_04.png,,,,,,
167,analysis/data/input_data/object_images/original_images/s_65_07.png,profile_images/s_65_07_2.png,original_images/s_65_07.png,,,,,,
168,analysis/data/input_data/object_images/original_images/s_82.png,profile_images/s_82_2.png,original_images/s_82.png,,,,,,
169,analysis/data/input_data/object_images/original_images/s_91_23.4.png,profile_images/s_91_23.4_2.png,original_images/s_91_23.4.png,,,,,,
170,analysis/data/input_data/object_images/original_images/s_91_23.6.png,profile_images/s_91_23.6_2.png,original_images/s_91_23.6.png,,,,,,
171,analysis/data/input_data/object_images/original_images/s_91_33.png,profile_images/s_91_33_2.png,original_images/s_91_33.png,,,,,,
172,analysis/data/input_data/object_images/original_images/s_91_34.png,profile_images/s_91_34_2.png,original_images/s_91_34.png,,,,,,
173,analysis/data/input_data/object_images/original_images/s_91_38.png,profile_images/s_91_38_2.png,original_images/s_91_38.png,,,,,,
174,analysis/data/input_data/object_images/original_images/s_91_alto_01.png,profile_images/s_91_alto_01_2.png,original_images/s_91_alto_01.png,,,,,,
175,analysis/data/input_data/object_images/original_images/s_91_alto_02.png,profile_images/s_91_alto_02_2.png,original_images/s_91_alto_02.png,,,,,,
176,analysis/data/input_data/object_images/original_images/s_91_alto_03.png,profile_images/s_91_alto_03_2.png,original_images/s_91_alto_03.png,,,,,,
177,analysis/data/input_data/object_images/original_images/s_91_alto_04.png,profile_images/s_91_alto_04_2.png,original_images/s_91_alto_04.png,,,,,,
178,analysis/data/input_data/object_images/original_images/s_91_forno_01.png,profile_images/s_91_forno_01_2.png,original_images/s_91_forno_01.png,,,,,,
179,analysis/data/input_data/object_images/original_images/s_91_m2.png,profile_images/s_91_m2_2.png,original_images/s_91_m2.png,,,,,,
180,analysis/data/input_data/object_images/original_images/s_91_maus_01.png,profile_images/s_91_maus_01_2.png,original_images/s_91_maus_01.png,,,,,,
181,analysis/data/input_data/object_images/original_images/s_91_maus_03.png,profile_images/s_91_maus_03_2.png,original_images/s_91_maus_03.png,,,,,,
182,analysis/data/input_data/object_images/original_images/s_91_monte_dos_marxo.png,profile_images/s_91_monte_dos_marxo_2.png,original_images/s_91_monte_dos_marxo.png,,,,,,
183,analysis/data/input_data/object_images/original_images/s_91_monte_romea_23.png,profile_images/s_91_monte_romea_23_2.png,original_images/s_91_monte_romea_23.png,,,,,,
184,analysis/data/input_data/object_images/original_images/s_91_monte_romea_31.png,profile_images/s_91_monte_romea_31_2.png,original_images/s_91_monte_romea_31.png,,,,,,
185,analysis/data/input_data/object_images/original_images/s_91_monte_romea_32.png,profile_images/s_91_monte_romea_32_2.png,original_images/s_91_monte_romea_32.png,,,,,,
186,analysis/data/input_data/object_images/original_images/s_91_monte_romea_35.png,profile_images/s_91_monte_romea_35_2.png,original_images/s_91_monte_romea_35.png,,,,,,
187,analysis/data/input_data/object_images/original_images/s_91_monte_romea_44.png,profile_images/s_91_monte_romea_44_2.png,original_images/s_91_monte_romea_44.png,,,,,,
188,analysis/data/input_data/object_images/original_images/s_91_roupar_19.png,profile_images/s_91_roupar_19_2.png,original_images/s_91_roupar_19.png,,,,,,
189,analysis/data/input_data/object_images/original_images/s_91_san_andres.png,profile_images/s_91_san_andres_2.png,original_images/s_91_san_andres.png,,,,,,
190,analysis/data/input_data/object_images/original_images/s_91_tecedeiras_25.png,profile_images/s_91_tecedeiras_25_2.png,original_images/s_91_tecedeiras_25.png,,,,,,
191,analysis/data/input_data/object_images/original_images/s_91_tecedeiras_26.png,profile_images/s_91_tecedeiras_26_2.png,original_images/s_91_tecedeiras_26.png,,,,,,
192,analysis/data/input_data/object_images/original_images/s_91_veiga_de_vilavella_01.png,profile_images/s_91_veiga_de_vilavella_01_2.png,original_images/s_91_veiga_de_vilavella_01.png,,,,,,
193,analysis/data/input_data/object_images/original_images/s_91_veiga_de_vilavella_02.png,profile_images/s_91_veiga_de_vilavella_02_2.png,original_images/s_91_veiga_de_vilavella_02.png,,,,,,
194,analysis/data/input_data/object_images/original_images/tafel_103_143.png,profile_images/tafel_103_143_2.png,original_images/tafel_103_143.png,,,,,,
195,analysis/data/input_data/object_images/original_images/tafel_103_144.png,profile_images/tafel_103_144_2.png,original_images/tafel_103_144.png,,,,,,
196,analysis/data/input_data/object_images/original_images/tafel_103_146.png,profile_images/tafel_103_146_2.png,original_images/tafel_103_146.png,,,,,,
197,analysis/data/input_data/object_images/original_images/tafel_103_148.png,profile_images/tafel_103_148_2.png,original_images/tafel_103_148.png,,,,,,
198,analysis/data/input_data/object_images/original_images/tafel_10_57.png,profile_images/tafel_10_57_2.png,original_images/tafel_10_57.png,,,,,,
199,analysis/data/input_data/object_images/original_images/tafel_115_1.png,profile_images/tafel_115_1_2.png,original_images/tafel_115_1.png,,,,,,
200,analysis/data/input_data/object_images/original_images/tafel_115_2.png,profile_images/tafel_115_2_2.png,original_images/tafel_115_2.png,,,,,,
201,analysis/data/input_data/object_images/original_images/tafel_115_3.png,profile_images/tafel_115_3_2.png,original_images/tafel_115_3.png,,,,,,
202,analysis/data/input_data/object_images/original_images/tafel_12_27.png,profile_images/tafel_12_27_2.png,original_images/tafel_12_27.png,,,,,,
203,analysis/data/input_data/object_images/original_images/tafel_14_28.png,profile_images/tafel_14_28_2.png,original_images/tafel_14_28.png,,,,,,
204,analysis/data/input_data/object_images/original_images/tafel_15_6.png,profile_images/tafel_15_6_2.png,original_images/tafel_15_6.png,,,,,,
205,analysis/data/input_data/object_images/original_images/tafel_16_51.png,profile_images/tafel_16_51_2.png,original_images/tafel_16_51.png,,,,,,
206,analysis/data/input_data/object_images/original_images/tafel_18_59.png,profile_images/tafel_18_59_2.png,original_images/tafel_18_59.png,,,,,,
207,analysis/data/input_data/object_images/original_images/tafel_28_75.png,profile_images/tafel_28_75_2.png,original_images/tafel_28_75.png,,,,,,
208,analysis/data/input_data/object_images/original_images/tafel_28_79.png,profile_images/tafel_28_79_2.png,original_images/tafel_28_79.png,,,,,,
209,analysis/data/input_data/object_images/original_images/tafel_2_42.png,profile_images/tafel_2_42_2.png,original_images/tafel_2_42.png,,,,,,
210,analysis/data/input_data/object_images/original_images/tafel_2_43.png,profile_images/tafel_2_43_2.png,original_images/tafel_2_43.png,,,,,,
211,analysis/data/input_data/object_images/original_images/tafel_2_44.png,profile_images/tafel_2_44_2.png,original_images/tafel_2_44.png,,,,,,
212,analysis/data/input_data/object_images/original_images/tafel_2_59.png,profile_images/tafel_2_59_2.png,original_images/tafel_2_59.png,,,,,,
213,analysis/data/input_data/object_images/original_images/tafel_52_60.png,profile_images/tafel_52_60_2.png,original_images/tafel_52_60.png,,,,,,
